000000;87342
000001;88628
010101;88627
000001;78
000010;97
001000;652
010000;4489
100000;50393
100001;51178
100002;51179
100003;51180
100004;51181
100005;51182
100006;51183
100007;51275
100008;51276
100009;51277
010001;4490
100010;51278
100012;51279
100013;51280
100014;51369
100015;51370
100016;51371
100017;51372
100018;51373
010002;4491
100020;51374
100021;51456
100022;51457
100023;51458
100024;51459
100025;51460
100026;51461
100027;51545
100028;51546
100029;51547
010003;4499
100030;51548
100031;51549
100032;51550
100033;51551
100035;51644
100036;51645
100037;51646
100038;51647
100039;51648
010004;4500
100040;51649
100041;51740
100042;51741
100043;51742
100044;51743
100045;51744
100048;51821
100049;51822
010005;4501
100050;51823
010006;4502
100072;52077
100073;52078
100074;50726
100075;50727
100077;50728
100078;50729
100079;50730
100080;50731
100081;50815
100082;50816
100083;50817
100084;50818
100085;50819
100086;50820
100087;50906
100088;50907
100089;50908
100090;50909
100091;50910
100092;50911
100093;50912
100094;50995
100096;50996
100097;50997
100098;50998
100099;50999
001001;436
100100;51000
100101;51090
100102;51091
100103;51092
100104;51093
100105;51094
100106;51095
100107;51184
100108;51185
100109;51186
100110;51187
100111;51188
100112;51189
100113;51190
100114;51281
100115;51282
100116;51283
100117;51284
100118;51285
100119;51286
100123;51375
100124;51376
100125;51377
100126;51378
100127;51462
100128;51463
100129;51464
100130;51465
100131;51466
100132;51467
100133;51468
100134;51552
100135;51553
100136;51554
100137;51555
100138;51556
100139;51557
100140;51558
100141;51650
100142;51651
100143;51652
100144;51653
100146;51654
100149;51745
100152;51746
100153;51747
100155;51824
100156;51825
100157;51826
100158;51827
100159;51828
100160;51829
100161;51907
100163;51908
100164;51909
100165;51910
100166;51911
100167;51995
100168;51996
100169;51997
100170;51998
100171;51999
100172;52000
100175;52079
100178;52080
100179;52081
100180;52082
100182;50732
100183;50733
100184;50734
100185;50735
100186;50736
100187;50821
100188;50822
100189;50823
100190;50824
100191;50825
100192;50826
100193;89213
100194;89214
100195;50913
100196;50914
100197;50915
100198;50916
100199;50917
001002;437
100200;50918
100201;51001
100202;51002
100203;51003
100204;51004
100206;51005
100207;51096
100208;51097
100209;51098
100210;51099
100211;51100
100212;51101
100213;51102
100214;51191
100215;51192
100216;51193
100217;51194
100219;51195
100220;51196
100221;51287
100222;51288
100223;51289
100224;51290
100225;51291
100226;51292
100227;51379
100228;51380
100229;51381
100230;51382
100231;51383
100232;51384
100233;51385
100234;51469
100235;51470
100236;51471
100237;51472
100238;51473
100239;51474
100240;51475
100241;51559
100242;51560
100243;51561
100244;51562
100245;51563
100246;51564
100247;51655
100248;51656
100249;51657
100250;51658
100251;51659
100252;51660
100254;51748
100258;51749
100260;51750
100262;51830
100265;51831
100273;51912
100275;52001
100276;52002
100279;52003
010028;4531
100281;52083
100282;52084
100284;52085
100285;52086
100287;50737
100288;50738
100291;50739
100292;50740
100293;50741
100294;50827
100295;50828
100296;50829
100298;50830
100299;50831
001003;438
100300;50832
100302;50919
100303;50920
100304;50921
100305;50922
100306;50923
100307;51006
100308;51007
100309;51008
010031;4537
100310;51009
100311;51010
100312;51011
100313;51012
100314;51103
100315;51104
100316;51105
100317;51106
100318;51107
100319;51108
100320;51109
100321;51197
100322;51198
100323;51199
100329;51293
100330;51294
100331;51295
100332;51296
100333;51297
100334;51386
100335;51387
100336;51388
100337;51389
100338;51390
100339;51391
100340;51392
100341;51476
100342;51477
100345;51478
100346;51479
100347;51565
100348;51566
100349;51567
100350;51568
100351;51569
100352;51570
100353;51571
100354;51661
100355;51662
100356;51663
100357;51664
100358;51665
100359;51666
100360;51667
100361;51751
100362;51752
100363;51753
100364;51754
100365;51755
100366;51756
100367;51832
100368;51833
100369;51834
010037;4547
100370;51835
100371;51836
100375;51913
100376;51914
100377;51915
100378;51916
100379;51917
100380;51918
100381;52004
100382;52005
100383;52006
100384;52007
100385;52008
100386;52009
100387;52087
100388;52088
100389;52089
100390;52090
100391;52091
100392;52092
100393;52093
100394;50742
100395;50743
100396;50744
100397;50745
100398;50746
001004;439
100400;50747
100401;50833
100402;50834
100403;50835
100404;50836
100405;50837
100406;50838
100407;50924
100408;91091
100409;50925
100410;50926
100411;50927
100412;50928
100413;50929
100414;51013
100416;51014
100417;51015
100418;51016
100419;51017
010042;4548
100420;51018
100421;51110
100422;51111
100423;51112
100424;51113
100425;51114
100427;51200
100428;51201
100429;51202
100430;51203
100431;51204
100432;51205
100433;51206
100434;51298
100435;51299
100436;51300
100437;51301
100439;51302
010044;4554
100440;51303
100442;51393
100444;51394
100445;51395
100446;51396
100447;51480
100448;51481
100449;51482
010045;4555
100450;51483
100451;51484
100452;51485
100454;51572
100455;51573
100456;51574
100457;51575
100458;51576
100459;51577
100460;51578
100461;51668
100462;51669
100463;51670
100464;51671
100465;51672
100466;51673
100468;51757
100469;51758
010047;4556
100470;51759
100471;51760
100472;51761
100473;51762
100474;51837
100475;51838
100476;51839
100477;51840
100478;51841
